Player,Game,Points,Team
SuperToad916,Skywars,810.0,Yellow
CluelessGamer18,Mini Walls,740.0,Red
ronescape,Build Battle,600.0,Yellow
IceKing12323,Skywars,600.0,Blue
IceKing12323,Build Battle,588.0,Blue
CluelessGamer18,WOBTAFITV,582.0,Red
asher_06,Build Battle,570.0,Green
CluelessGamer18,Parkour Duels,570.0,Red
SuperToad916,WOBTAFITV,564.0,Yellow
Kum13,Build Battle,534.0,Yellow
JJ22FTW,Bedwars,526.0,Green
BeanGangTingle,Build Battle,522.0,Green
Jamez10,Mini Walls,520.0,Red
JJ22FTW,Mini Walls,510.0,Green
Jamez10,Build Battle,504.0,Red
SuperToad916,Build Battle,492.0,Yellow
JJ22FTW,Skywars,490.0,Green
Lucid928,UHC Duels,490.0,Blue
JJ22FTW,Parkour Duels,480.0,Green
IceKing12323,WOBTAFITV,474.0,Blue
BeanGangTingle,Bedwars,472.0,Green
SuperToad916,Bridge Duels,456.0,Yellow
JJ22FTW,Build Battle,450.0,Green
SuperToad916,UHC Duels,420.0,Yellow
SerRonanIrwin,Build Battle,414.0,Blue
Kum13,WOBTAFITV,414.0,Yellow
TVTrickster,Build Battle,408.0,Blue
CluelessGamer18,Bedwars,400.0,Red
SuperToad916,Parkour Duels,400.0,Yellow
lgmusicfan,Build Battle,384.0,Yellow
SerRonanIrwin,Mini Walls,384.0,Blue
JJ22FTW,WOBTAFITV,384.0,Green
lgmusicfan,WOBTAFITV,370.0,Yellow
Lucid928,Build Battle,366.0,Blue
lgmusicfan,Bridge Duels,360.0,Yellow
Kum13,Skywars,360.0,Yellow
CluelessGamer18,UHC Duels,350.0,Red
Kum13,UHC Duels,350.0,Yellow
JJ22FTW,Bridge Duels,342.0,Green
TVTrickster,Parkour Duels,340.0,Blue
BeanGangTingle,Skywars,340.0,Green
IceKing12323,Parkour Duels,330.0,Blue
CluelessGamer18,Skywars,330.0,Red
Kum13,Bridge Duels,324.0,Yellow
Lucid928,Mini Walls,308.0,Blue
bhearts,Build Battle,294.0,Green
Jamez10,WOBTAFITV,292.0,Red
asher_06,Skywars,290.0,Green
CluelessGamer18,Bridge Duels,288.0,Red
IceKing12323,Mini Walls,286.0,Blue
TVTrickster,UHC Duels,280.0,Blue
ronescape,Bridge Duels,270.0,Yellow
Lucid928,Bridge Duels,270.0,Blue
Jamez10,Parkour Duels,270.0,Red
Kum13,Parkour Duels,270.0,Yellow
SerRonanIrwin,WOBTAFITV,268.0,Blue
tenparks,Mini Walls,260.0,Red
BeanGangTingle,WOBTAFITV,258.0,Green
CluelessGamer18,Build Battle,252.0,Red
QuinnQuimby,Mini Walls,252.0,Red
lgmusicfan,Skywars,250.0,Yellow
IceKing12323,Bridge Duels,234.0,Blue
asher_06,Bridge Duels,222.0,Green
lgmusicfan,Parkour Duels,220.0,Yellow
SerRonanIrwin,Bridge Duels,216.0,Blue
asher_06,Parkour Duels,210.0,Green
Jamez10,Skywars,210.0,Red
Jamez10,UHC Duels,210.0,Red
lgmusicfan,UHC Duels,210.0,Yellow
BeanGangTingle,UHC Duels,210.0,Green
asher_06,UHC Duels,210.0,Green
IceKing12323,UHC Duels,210.0,Blue
SerRonanIrwin,UHC Duels,210.0,Blue
Kum13,Bedwars,206.0,Yellow
bhearts,Bedwars,202.0,Green
SuperToad916,Bedwars,194.0,Yellow
ronescape,WOBTAFITV,194.0,Yellow
tenparks,Build Battle,192.0,Red
TVTrickster,Bridge Duels,180.0,Blue
BeanGangTingle,Parkour Duels,180.0,Green
SerRonanIrwin,Skywars,180.0,Blue
asher_06,WOBTAFITV,178.0,Green
BeanGangTingle,Bridge Duels,168.0,Green
bhearts,Bridge Duels,168.0,Green
TVTrickster,WOBTAFITV,166.0,Blue
lgmusicfan,Mini Walls,160.0,Yellow
TVTrickster,Mini Walls,160.0,Blue
bhearts,Parkour Duels,160.0,Green
asher_06,Bedwars,158.0,Green
QuinnQuimby,Build Battle,150.0,Red
Lucid928,Parkour Duels,150.0,Blue
TVTrickster,Skywars,150.0,Blue
Jamez10,Bedwars,146.0,Red
ronescape,UHC Duels,140.0,Yellow
bhearts,UHC Duels,140.0,Green
SuperToad916,Mini Walls,134.0,Yellow
BeanGangTingle,Mini Walls,132.0,Green
Jamez10,Bridge Duels,126.0,Red
QuinnQuimby,Bedwars,122.0,Red
Lucid928,WOBTAFITV,122.0,Blue
IceKing12323,Bedwars,120.0,Blue
TVTrickster,Bedwars,120.0,Blue
SerRonanIrwin,Parkour Duels,120.0,Blue
bhearts,Skywars,120.0,Green
Lucid928,Skywars,120.0,Blue
tenparks,Bedwars,110.0,Red
asher_06,Mini Walls,96.0,Green
QuinnQuimby,Bridge Duels,90.0,Red
QuinnQuimby,Skywars,90.0,Red
SerRonanIrwin,Bedwars,84.0,Blue
Kum13,Mini Walls,74.0,Yellow
ronescape,Mini Walls,74.0,Yellow
Lucid928,Bedwars,72.0,Blue
tenparks,Bridge Duels,72.0,Red
bhearts,Mini Walls,72.0,Green
QuinnQuimby,WOBTAFITV,72.0,Red
QuinnQuimby,Parkour Duels,70.0,Red
ronescape,Parkour Duels,70.0,Yellow
QuinnQuimby,UHC Duels,70.0,Red
tenparks,UHC Duels,70.0,Red
JJ22FTW,UHC Duels,70.0,Green
lgmusicfan,Bedwars,66.0,Yellow
bhearts,WOBTAFITV,64.0,Green
tenparks,Parkour Duels,60.0,Red
ronescape,Bedwars,42.0,Yellow
tenparks,Skywars,40.0,Red
ronescape,Skywars,30.0,Yellow
tenparks,WOBTAFITV,8.0,Red
